"energy_type_clean","date","emissions_kg","generation_mwh","ef_kg_per_mwh","ef_ma_kg_per_mwh"
"oil_and_natural_gas",2005-01-01,518000,900595,0.575175300773378,0.575175300773378
"oil_and_natural_gas",2005-02-01,326800,763260,0.428163404344522,0.50166935255895
"oil_and_natural_gas",2005-03-01,488900,949981,0.514641871784804,0.505993525634235
"oil_and_natural_gas",2005-04-01,445300,767757,0.580001224345724,0.524495450312107
"oil_and_natural_gas",2005-05-01,222600,500886,0.444412501048143,0.508478860459314
"oil_and_natural_gas",2005-06-01,59600,132487,0.449855457516587,0.498708293302193
"oil_and_natural_gas",2005-07-01,88500,175300,0.504848830576155,0.486987214935989
"oil_and_natural_gas",2005-08-01,68500,110614,0.619270616739292,0.518838417001784
"oil_and_natural_gas",2005-09-01,80100,151597,0.528374572056175,0.521127200380346
"oil_and_natural_gas",2005-10-01,91000,173328,0.525016154343211,0.511963022046594
"oil_and_natural_gas",2005-11-01,166100,328795,0.505177998448882,0.522090604946717
"oil_and_natural_gas",2005-12-01,251700,543355,0.463233061258293,0.524320205570335
"oil_and_natural_gas",2006-01-01,324700,812268,0.399744911777886,0.506802885770623
"oil_and_natural_gas",2006-02-01,197500,408155,0.483884798667173,0.484238582758603
"oil_and_natural_gas",2006-03-01,227300,509331,0.446271677946169,0.470554767073602
"oil_and_natural_gas",2006-04-01,121500,274349,0.442866567765875,0.456863169310713
"oil_and_natural_gas",2006-05-01,35900,90889,0.394987292191574,0.438498051601162
"oil_and_natural_gas",2006-06-01,85800,166573,0.515089480287922,0.4471407881061
"oil_and_natural_gas",2006-07-01,60300,136359,0.442215035311201,0.454219142028319
"oil_and_natural_gas",2006-08-01,156100,332585,0.469353699054377,0.451797292092853
"oil_and_natural_gas",2006-09-01,107300,199363,0.538214212266067,0.467121047812836
"oil_and_natural_gas",2006-10-01,61700,128286,0.480956612568792,0.473469388613322
"oil_and_natural_gas",2006-11-01,481000,865920,0.555478566149298,0.500217934272943
"oil_and_natural_gas",2006-12-01,780700,942364,0.8284484551617,0.552444430085239
"oil_and_natural_gas",2007-01-01,548000,701266,0.781443845844516,0.608982565174125
"oil_and_natural_gas",2007-02-01,577300,645803,0.893925856646686,0.67974459143951
"oil_and_natural_gas",2007-03-01,453800,542861,0.835941428837216,0.729365794201368
"oil_and_natural_gas",2007-04-01,377200,527961,0.714446711026004,0.768280810610903
"oil_and_natural_gas",2007-05-01,600200,870944,0.68913730389095,0.790557266901179
"oil_and_natural_gas",2007-06-01,230500,397967,0.579193752245789,0.749014816415194
"oil_and_natural_gas",2007-07-01,149700,239819,0.624220766494731,0.722810969856896
"oil_and_natural_gas",2007-08-01,118300,168333,0.70277366885875,0.69095227189224
"oil_and_natural_gas",2007-09-01,101800,189007,0.538604390313586,0.641396098804969
"oil_and_natural_gas",2007-10-01,129800,256360,0.50631923857076,0.606708186729095
"oil_and_natural_gas",2007-11-01,122600,245844,0.498690226322383,0.574967007134333
"oil_and_natural_gas",2007-12-01,157400,319585,0.492513728741962,0.560520336550362
"coal",2008-01-01,987200,2977918,0.331506777553982,0.331506777553982
"oil_and_natural_gas",2008-01-01,206000,439102,0.469139288821276,0.534673423604786
"coal",2008-02-01,854000,2557468,0.33392402172774,0.332715399640861
"oil_and_natural_gas",2008-02-01,189100,379351,0.498482935329022,0.500624968016498
"coal",2008-03-01,862300,2665043,0.323559507295004,0.329663435525576
"oil_and_natural_gas",2008-03-01,103700,199047,0.520982481524464,0.497687983218311
"coal",2008-04-01,776800,2565437,0.302794416701716,0.322946180819611
"oil_and_natural_gas",2008-04-01,31500,72390,0.435142975549109,0.485825272714703
"coal",2008-05-01,861600,2653026,0.324761234906857,0.32330919163706
"oil_and_natural_gas",2008-05-01,24400,49678,0.491163090301542,0.484570750044563
"coal",2008-06-01,916700,2863845,0.320094139173035,0.322773349559722
"oil_and_natural_gas",2008-06-01,30700,65831,0.466345642630372,0.480209402359298
"coal",2008-07-01,1159500,2955328,0.392342237477532,0.332912592880314
"oil_and_natural_gas",2008-07-01,180000,320331,0.561918765277166,0.495672648435279
"coal",2008-08-01,1195000,2963656,0.403218187265999,0.344461620470024
"oil_and_natural_gas",2008-08-01,20100,42880,0.46875,0.490717159213776
"coal",2008-09-01,1074700,2579673,0.416603189629073,0.359968900859035
"oil_and_natural_gas",2008-09-01,31900,64641,0.493494840735756,0.486135885748991
"coal",2008-10-01,1019600,2620621,0.389068087296866,0.374347845958227
"oil_and_natural_gas",2008-10-01,44100,90271,0.488528984945331,0.495033553981695
"coal",2008-11-01,886900,2623665,0.338038583431955,0.376560737379077
"oil_and_natural_gas",2008-11-01,20800,48510,0.428777571634714,0.484635967537223
"coal",2008-12-01,806900,2808384,0.287318258471776,0.371098090595533
"oil_and_natural_gas",2008-12-01,92600,162576,0.569579765771085,0.501841654727342
"coal",2009-01-01,804500,3011422,0.267149539320627,0.350232640902716
"oil_and_natural_gas",2009-01-01,381900,536368,0.712011156519405,0.526857053267715
"coal",2009-02-01,812600,2531510,0.320994189238834,0.336528641231522
